accountsservice	22.07.5-2ubuntu1.5
acl	2.3.1-1
adduser	3.118ubuntu5
adwaita-icon-theme	41.0-1ubuntu1
aisleriot	1:3.22.22-1
alsa-base	1.0.25+dfsg-0ubuntu7
alsa-ucm-conf	1.2.6.3-1ubuntu1.12
alsa-utils	1.2.6-1ubuntu1
anacron	2.3-31ubuntu2
apg	2.2.3.dfsg.1-5build2
apparmor	3.0.4-2ubuntu2.4
apport	2.20.11-0ubuntu82.10
apport-gtk	2.20.11-0ubuntu82.10
apport-symptoms	0.24
appstream	0.15.2-2
apt	2.4.14
apt-config-icons	0.15.2-2
apt-config-icons-hidpi	0.15.2-2
aptdaemon	1.1.1+bzr982-0ubuntu39
aptdaemon-data	1.1.1+bzr982-0ubuntu39
aptitude	0.8.13-3ubuntu1
aptitude-common	0.8.13-3ubuntu1
apturl	0.5.2ubuntu22
apturl-common	0.5.2ubuntu22
aspell	0.60.8-4build1
aspell-en	2018.04.16-0-1
at-spi2-core	2.44.0-3
autoconf	2.71-2
automake	1:1.16.5-1.3
autotools-dev	20220109.1
avahi-autoipd	0.8-5ubuntu5.2
avahi-daemon	0.8-5ubuntu5.2
avahi-utils	0.8-5ubuntu5.2
baobab	41.0-2
base-files	12ubuntu4.7
base-passwd	3.5.52build1
bash	5.1-6ubuntu1.1
bash-completion	1:2.11-5ubuntu1
bc	1.07.1-3build1
bind9-host	1:9.18.30-0ubuntu0.22.04.2
bind9-libs:arm64	1:9.18.30-0ubuntu0.22.04.2
binfmt-support	2.2.1-2
binutils	2.38-4ubuntu2.8
binutils-aarch64-linux-gnu	2.38-4ubuntu2.8
binutils-common:arm64	2.38-4ubuntu2.8
bison	2:3.8.2+dfsg-1build1
blt	2.5.3+dfsg-4.1build2
bluez	5.64-0ubuntu1.4
bluez-obexd	5.64-0ubuntu1.4
bolt	0.9.2-1
branding-ubuntu	0.10
bridge-utils	1.7-1ubuntu3
brltty	6.4-4ubuntu3
bsdextrautils	2.37.2-4ubuntu3.4
bsdutils	1:2.37.2-4ubuntu3.4
bubblewrap	0.6.1-1ubuntu0.1
build-essential	12.9ubuntu3
busybox-initramfs	1:1.30.1-7ubuntu3.1
bzip2	1.0.8-5build1
bzip2-doc	1.0.8-5build1
ca-certificates	20240203~22.04.1
ca-certificates-java	20190909ubuntu1.2
ca-certificates-mono	6.8.0.105+dfsg-3.2
can-utils	2020.11.0-1
catch2	2.13.8-1
cheese	41.1-1build1
cheese-common	41.1-1build1
chrony	4.2-2ubuntu2
