UNIT FILE                                                                     STATE           VENDOR PRESET
proc-sys-fs-binfmt_misc.automount                                             static          -
-.mount                                                                       generated       -
boot-efi.mount                                                                generated       -
dev-hugepages.mount                                                           static          -
dev-mqueue.mount                                                              static          -
proc-sys-fs-binfmt_misc.mount                                                 disabled        disabled
snap-bare-5.mount                                                             enabled         enabled
snap-core22-2115.mount                                                        enabled         enabled
snap-core22-2412.mount                                                        enabled         enabled
snap-core24-1644.mount                                                        enabled         enabled
snap-firefox-6736.mount                                                       enabled         enabled
snap-firefox-8519.mount                                                       enabled         enabled
snap-gnome\x2d42\x2d2204-201.mount                                            enabled         enabled
snap-gnome\x2d46\x2d2404-154.mount                                            enabled         enabled
snap-gtk\x2dcommon\x2dthemes-1535.mount                                       enabled         enabled
snap-mesa\x2d2404-1778.mount                                                  enabled         enabled
snap-snapd-25205.mount                                                        enabled         enabled
sys-fs-fuse-connections.mount                                                 static          -
sys-kernel-config.mount                                                       static          -
sys-kernel-debug.mount                                                        static          -
sys-kernel-tracing.mount                                                      static          -
apport-autoreport.path                                                        enabled         enabled
ntp-systemd-netif.path                                                        masked          enabled
resolvconf-pull-resolved.path                                                 enabled         enabled
systemd-ask-password-console.path                                             static          -
systemd-ask-password-plymouth.path                                            static          -
systemd-ask-password-wall.path                                                static          -
docker-4931c13955e353cd7a813f58e3b9522d6d295ca0853168897e33d9a8c597b54d.scope transient       -
session-873.scope                                                             transient       -
session-89.scope                                                              transient       -
session-966.scope                                                             transient       -
session-c1.scope                                                              transient       -
accounts-daemon.service                                                       enabled         enabled
alsa-restore.service                                                          static          -
alsa-state.service                                                            static          -
alsa-utils.service                                                            masked          enabled
anacron.service                                                               enabled         enabled
apparmor.service                                                              enabled         enabled
apport-autoreport.service                                                     static          -
apport-forward@.service                                                       static          -
apport.service                                                                generated       -
apt-daily-upgrade.service                                                     static          -
apt-daily.service                                                             static          -
apt-news.service                                                              static          -
autovt@.service                                                               alias           -
avahi-daemon.service                                                          enabled         enabled
binfmt-support.service                                                        enabled         enabled
blk-availability.service                                                      enabled         enabled
bluetooth.service                                                             enabled         enabled
bolt.service                                                                  static          -
brltty-udev.service                                                           static          -
brltty.service                                                                disabled        enabled
chrony-dnssrv@.service                                                        static          -
chrony.service                                                                enabled         enabled
chronyd.service                                                               alias           -
clash-verge-service.service                                                   enabled         enabled
colord.service                                                                static          -
configure-printer@.service                                                    static          -
console-getty.service                                                         disabled        disabled
console-setup.service                                                         enabled         enabled
container-getty@.service                                                      static          -
containerd.service                                                            enabled         enabled
cron.service                                                                  enabled         enabled
cryptdisks-early.service                                                      masked          enabled
cryptdisks.service                                                            masked          enabled
dbus-fi.w1.wpa_supplicant1.service                                            alias           -
dbus-org.bluez.service                                                        alias           -
dbus-org.freedesktop.Avahi.service                                            alias           -
dbus-org.freedesktop.hostname1.service                                        alias           -
dbus-org.freedesktop.locale1.service                                          alias           -
dbus-org.freedesktop.login1.service                                           alias           -
dbus-org.freedesktop.ModemManager1.service                                    alias           -
dbus-org.freedesktop.nm-dispatcher.service                                    alias           -
dbus-org.freedesktop.oom1.service                                             alias           -
dbus-org.freedesktop.resolve1.service                                         alias           -
dbus-org.freedesktop.timedate1.service                                        alias           -
dbus-org.freedesktop.timesync1.service                                        masked          enabled
dbus.service                                                                  static          -
debug-shell.service                                                           disabled        disabled
display-manager.service                                                       alias           -
dm-event.service                                                              static          -
dmesg.service                                                                 enabled         enabled
docker.service                                                                enabled         enabled
dpkg-db-backup.service                                                        static          -
e2scrub@.service                                                              static          -
e2scrub_all.service                                                           static          -
e2scrub_fail@.service                                                         static          -
e2scrub_reap.service                                                          enabled         enabled
emergency.service                                                             static          -
esm-cache.service                                                             static          -
fio.service                                                                   disabled        enabled
fprintd.service                                                               static          -
fstrim.service                                                                static          -
fwupd-offline-update.service                                                  static          -
fwupd-refresh.service                                                         static          -
fwupd.service                                                                 static          -
gdm.service                                                                   static          -
gdm3.service                                                                  alias           -
geoclue.service                                                               static          -
getty-static.service                                                          static          -
getty@.service                                                                enabled         enabled
grub-common.service                                                           masked          enabled
grub-initrd-fallback.service                                                  masked          enabled
haveged.service                                                               enabled         enabled
hwclock.service                                                               masked          enabled
iccp-agent.service                                                            enabled         enabled
iccp-ros-monitor.service                                                      enabled         enabled
iio-sensor-proxy.service                                                      static          -
initrd-cleanup.service                                                        static          -
initrd-parse-etc.service                                                      static          -
initrd-switch-root.service                                                    static          -
initrd-udevadm-cleanup-db.service                                             static          -
ipp-usb.service                                                               static          -
isc-dhcp-server.service                                                       disabled        enabled
isc-dhcp-server6.service                                                      disabled        enabled
kerneloops.service                                                            enabled         enabled
kexec-load.service                                                            generated       -
kexec.service                                                                 generated       -
keyboard-setup.service                                                        enabled         enabled
kmod-static-nodes.service                                                     static          -
kmod.service                                                                  alias           -
l4t-rootfs-validation-config.service                                          enabled         enabled
lpd.service                                                                   generated       -
lvm2-lvmpolld.service                                                         static          -
lvm2-monitor.service                                                          enabled         enabled
lvm2-pvscan@.service                                                          static          -
lvm2.service                                                                  masked          enabled
man-db.service                                                                static          -
ModemManager.service                                                          enabled         enabled
modprobe@.service                                                             static          -
motd-news.service                                                             static          -
networkd-dispatcher.service                                                   enabled         enabled
NetworkManager-dispatcher.service                                             enabled         enabled
NetworkManager-wait-online.service                                            disabled        enabled
NetworkManager.service                                                        enabled         enabled
nftables.service                                                              disabled        enabled
nm-priv-helper.service                                                        static          -
ntp.service                                                                   masked          enabled
nv-l4t-bootloader-config.service                                              enabled         enabled
nv-l4t-usb-device-mode-runtime.service                                        linked          enabled
nv-l4t-usb-device-mode.service                                                enabled         enabled
nv-late-init.service                                                          enabled         enabled
nv-ms-tpm-removal.service                                                     enabled         enabled
nv-tee-supplicant.service                                                     enabled         enabled
nv.service                                                                    enabled         enabled
nv_nvsciipc_init.service                                                      enabled         enabled
nvargus-daemon.service                                                        enabled         enabled
nvcpupowerfix.service                                                         enabled         enabled
nvfancontrol.service                                                          enabled         enabled
nvfb-early.service                                                            enabled         enabled
nvfb-udev.service                                                             enabled         enabled
nvfb.service                                                                  enabled         enabled
nvgetty.service                                                               enabled         enabled
nvmefc-boot-connections.service                                               enabled         enabled
nvmemwarning.service                                                          enabled         enabled
nvmf-autoconnect.service                                                      enabled         enabled
nvmf-connect@.service                                                         static          -
nvphs.service                                                                 enabled         enabled
nvpmodel.service                                                              enabled         enabled
nvpower.service                                                               enabled         enabled
nvramoopsconfig.service                                                       enabled         enabled
nvs-service.service                                                           enabled         enabled
nvweston.service                                                              enabled         enabled
nvwifibt.service                                                              static          -
nvzramconfig.service                                                          enabled         enabled
openvpn-client@.service                                                       disabled        enabled
openvpn-server@.service                                                       disabled        enabled
openvpn.service                                                               enabled         enabled
openvpn@.service                                                              disabled        enabled
packagekit-offline-update.service                                             static          -
packagekit.service                                                            static          -
plymouth-halt.service                                                         static          -
plymouth-kexec.service                                                        static          -
plymouth-log.service                                                          alias           -
plymouth-poweroff.service                                                     static          -
plymouth-quit-wait.service                                                    static          -
plymouth-quit.service                                                         static          -
plymouth-read-write.service                                                   static          -
plymouth-reboot.service                                                       static          -
plymouth-start.service                                                        static          -
plymouth-switch-root-initramfs.service                                        static          -
plymouth-switch-root.service                                                  static          -
plymouth.service                                                              alias           -
polkit.service                                                                static          -
portmap.service                                                               alias           -
power-profiles-daemon.service                                                 enabled         enabled
procps.service                                                                alias           -
pulseaudio-enable-autospawn.service                                           masked          enabled
quotaon.service                                                               static          -
rc-local.service                                                              static          -
rc.service                                                                    masked          enabled
rcS.service                                                                   masked          enabled
rescue.service                                                                static          -
resolvconf-pull-resolved.service                                              enabled         enabled
resolvconf.service                                                            enabled         enabled
rpcbind.service                                                               enabled         enabled
rsync.service                                                                 disabled        enabled
rsyslog.service                                                               enabled         enabled
rtkit-daemon.service                                                          disabled        enabled
saned.service                                                                 masked          enabled
saned@.service                                                                indirect        enabled
seatd.service                                                                 enabled         enabled
secureboot-db.service                                                         enabled         enabled
serial-getty@.service                                                         indirect        enabled
setvtrgb.service                                                              enabled         enabled
snap.mesa-2404.component-monitor.service                                      disabled        enabled
snapd.apparmor.service                                                        enabled         enabled
snapd.autoimport.service                                                      enabled         enabled
snapd.core-fixup.service                                                      enabled         enabled
snapd.failure.service                                                         static          -
snapd.recovery-chooser-trigger.service                                        enabled         enabled
snapd.seeded.service                                                          enabled         enabled
snapd.service                                                                 enabled         enabled
snapd.snap-repair.service                                                     static          -
snapd.system-shutdown.service                                                 enabled         enabled
speech-dispatcher.service                                                     generated       -
speech-dispatcherd.service                                                    disabled        enabled
spice-vdagent.service                                                         alias           -
spice-vdagentd.service                                                        indirect        enabled
ssh.service                                                                   enabled         enabled
ssh@.service                                                                  static          -
sshd.service                                                                  alias           -
sssd-autofs.service                                                           indirect        enabled
sssd-nss.service                                                              indirect        enabled
sssd-pac.service                                                              indirect        enabled
sssd-pam.service                                                              indirect        enabled
sssd-ssh.service                                                              indirect        enabled
sssd-sudo.service                                                             indirect        enabled
sssd.service                                                                  enabled         enabled
sudo.service                                                                  masked          enabled
switcheroo-control.service                                                    enabled         enabled
syslog.service                                                                alias           -
system-update-cleanup.service                                                 static          -
systemd-ask-password-console.service                                          static          -
systemd-ask-password-plymouth.service                                         static          -
systemd-ask-password-wall.service                                             static          -
systemd-backlight@.service                                                    static          -
systemd-binfmt.service                                                        static          -
systemd-bless-boot.service                                                    static          -
systemd-boot-check-no-failures.service                                        disabled        disabled
systemd-boot-system-token.service                                             static          -
systemd-exit.service                                                          static          -
systemd-fsck-root.service                                                     enabled-runtime enabled
systemd-fsck@.service                                                         static          -
systemd-fsckd.service                                                         static          -
systemd-halt.service                                                          static          -
systemd-hibernate-resume@.service                                             static          -
systemd-hibernate.service                                                     static          -
systemd-hostnamed.service                                                     static          -
systemd-hybrid-sleep.service                                                  static          -
systemd-initctl.service                                                       static          -
systemd-journal-flush.service                                                 static          -
systemd-journald.service                                                      static          -
systemd-journald@.service                                                     static          -
systemd-kexec.service                                                         static          -
systemd-localed.service                                                       static          -
systemd-logind.service                                                        static          -
systemd-machine-id-commit.service                                             static          -
systemd-modules-load.service                                                  static          -
systemd-network-generator.service                                             disabled        enabled
systemd-networkd-wait-online.service                                          disabled        disabled
systemd-networkd.service                                                      disabled        enabled
systemd-oomd.service                                                          enabled         enabled
systemd-poweroff.service                                                      static          -
systemd-pstore.service                                                        enabled         enabled
systemd-quotacheck.service                                                    static          -
systemd-random-seed.service                                                   static          -
systemd-reboot.service                                                        static          -
systemd-remount-fs.service                                                    enabled-runtime enabled
systemd-resolved.service                                                      enabled         enabled
systemd-rfkill.service                                                        static          -
systemd-suspend-then-hibernate.service                                        static          -
systemd-suspend.service                                                       static          -
systemd-sysctl.service                                                        static          -
systemd-sysext.service                                                        disabled        enabled
systemd-sysusers.service                                                      static          -
systemd-time-wait-sync.service                                                disabled        disabled
systemd-timedated.service                                                     static          -
systemd-timesyncd.service                                                     masked          enabled
systemd-tmpfiles-clean.service                                                static          -
systemd-tmpfiles-setup-dev.service                                            static          -
systemd-tmpfiles-setup.service                                                static          -
systemd-udev-settle.service                                                   static          -
systemd-udev-trigger.service                                                  static          -
systemd-udevd.service                                                         static          -
systemd-update-utmp-runlevel.service                                          static          -
systemd-update-utmp.service                                                   static          -
systemd-user-sessions.service                                                 static          -
systemd-volatile-root.service                                                 static          -
ua-reboot-cmds.service                                                        enabled         enabled
ua-timer.service                                                              static          -
ubuntu-advantage-desktop-daemon.service                                       static          -
ubuntu-advantage.service                                                      enabled         enabled
udev.service                                                                  alias           -
udisks2.service                                                               enabled         enabled
update-notifier-download.service                                              static          -
update-notifier-motd.service                                                  static          -
upower.service                                                                disabled        enabled
usb_modeswitch@.service                                                       static          -
usbmuxd.service                                                               static          -
user-runtime-dir@.service                                                     static          -
user@.service                                                                 static          -
uuidd.service                                                                 indirect        enabled
wacom-inputattach@.service                                                    static          -
wpa_supplicant-nl80211@.service                                               disabled        enabled
wpa_supplicant-wired@.service                                                 disabled        enabled
wpa_supplicant.service                                                        enabled         enabled
wpa_supplicant@.service                                                       disabled        enabled
x11-common.service                                                            masked          enabled
machine.slice                                                                 static          -
system-systemd\x2dcryptsetup.slice                                            static          -
user.slice                                                                    static          -
apport-forward.socket                                                         enabled         enabled
avahi-daemon.socket                                                           enabled         enabled
dbus.socket                                                                   static          -
dm-event.socket                                                               enabled         enabled
docker.socket                                                                 enabled         enabled
lvm2-lvmpolld.socket                                                          enabled         enabled
rpcbind.socket                                                                enabled         enabled
saned.socket                                                                  disabled        enabled
snapd.socket                                                                  enabled         enabled
spice-vdagentd.socket                                                         static          -
ssh.socket                                                                    disabled        enabled
sssd-autofs.socket                                                            enabled         enabled
sssd-nss.socket                                                               enabled         enabled
sssd-pac.socket                                                               enabled         enabled
sssd-pam-priv.socket                                                          enabled         enabled
sssd-pam.socket                                                               enabled         enabled
sssd-ssh.socket                                                               enabled         enabled
sssd-sudo.socket                                                              enabled         enabled
syslog.socket                                                                 static          -
systemd-fsckd.socket                                                          static          -
systemd-initctl.socket                                                        static          -
systemd-journald-audit.socket                                                 static          -
systemd-journald-dev-log.socket                                               static          -
systemd-journald-varlink@.socket                                              static          -
systemd-journald.socket                                                       static          -
systemd-journald@.socket                                                      static          -
systemd-networkd.socket                                                       disabled        enabled
systemd-rfkill.socket                                                         static          -
systemd-udevd-control.socket                                                  static          -
systemd-udevd-kernel.socket                                                   static          -
uuidd.socket                                                                  enabled         enabled
basic.target                                                                  static          -
blockdev@.target                                                              static          -
bluetooth.target                                                              static          -
boot-complete.target                                                          static          -
cryptsetup-pre.target                                                         static          -
cryptsetup.target                                                             static          -
ctrl-alt-del.target                                                           alias           -
default.target                                                                alias           -
emergency.target                                                              static          -
exit.target                                                                   disabled        disabled
final.target                                                                  static          -
first-boot-complete.target                                                    static          -
getty-pre.target                                                              static          -
getty.target                                                                  static          -
graphical.target                                                              indirect        enabled
halt.target                                                                   disabled        disabled
hibernate.target                                                              static          -
hybrid-sleep.target                                                           static          -
initrd-fs.target                                                              static          -
initrd-root-device.target                                                     static          -
initrd-root-fs.target                                                         static          -
initrd-switch-root.target                                                     static          -
initrd-usr-fs.target                                                          static          -
initrd.target                                                                 static          -
kexec.target                                                                  disabled        disabled
local-fs-pre.target                                                           static          -
local-fs.target                                                               static          -
multi-user.target                                                             static          -
network-online.target                                                         static          -
network-pre.target                                                            static          -
network.target                                                                static          -
nss-lookup.target                                                             static          -
nss-user-lookup.target                                                        static          -
nvmf-connect.target                                                           static          -
paths.target                                                                  static          -
poweroff.target                                                               disabled        disabled
printer.target                                                                static          -
reboot.target                                                                 disabled        enabled
remote-cryptsetup.target                                                      disabled        enabled
remote-fs-pre.target                                                          static          -
remote-fs.target                                                              enabled         enabled
remote-veritysetup.target                                                     disabled        enabled
rescue-ssh.target                                                             static          -
rescue.target                                                                 static          -
rpcbind.target                                                                static          -
runlevel0.target                                                              alias           -
runlevel1.target                                                              alias           -
runlevel2.target                                                              alias           -
runlevel3.target                                                              alias           -
runlevel4.target                                                              alias           -
runlevel5.target                                                              alias           -
runlevel6.target                                                              alias           -
shutdown.target                                                               static          -
sigpwr.target                                                                 static          -
sleep.target                                                                  static          -
slices.target                                                                 static          -
smartcard.target                                                              static          -
snapd.mounts-pre.target                                                       static          -
snapd.mounts.target                                                           static          -
sockets.target                                                                static          -
sound.target                                                                  static          -
suspend-then-hibernate.target                                                 static          -
suspend.target                                                                static          -
swap.target                                                                   static          -
sysinit.target                                                                static          -
system-update-pre.target                                                      static          -
system-update.target                                                          static          -
time-set.target                                                               static          -
time-sync.target                                                              static          -
timers.target                                                                 static          -
umount.target                                                                 static          -
usb-gadget.target                                                             static          -
veritysetup-pre.target                                                        static          -
veritysetup.target                                                            static          -
anacron.timer                                                                 enabled         enabled
apport-autoreport.timer                                                       enabled         enabled
apt-daily-upgrade.timer                                                       enabled         enabled
apt-daily.timer                                                               enabled         enabled
chrony-dnssrv@.timer                                                          disabled        enabled
dpkg-db-backup.timer                                                          enabled         enabled
e2scrub_all.timer                                                             enabled         enabled
fstrim.timer                                                                  enabled         enabled
fwupd-refresh.timer                                                           enabled         enabled
man-db.timer                                                                  enabled         enabled
motd-news.timer                                                               enabled         enabled
snapd.snap-repair.timer                                                       enabled         enabled
systemd-tmpfiles-clean.timer                                                  static          -
ua-timer.timer                                                                enabled         enabled
update-notifier-download.timer                                                enabled         enabled
update-notifier-motd.timer                                                    enabled         enabled

433 unit files listed.
